Number	Player	Team	 Purchased 	 Paid 
1	Ford Frick	Major League Baseball	 TRUE 	$6.10
2	Eddie Yost	Detroit Tigers 	 TRUE 	$2.00
3	Don McMahon	Milwaukee Braves	 TRUE 	$6.55
4	Albie Pearson	Washington Senators	 TRUE 	$1.86
5	Dick Donovan	Chicago White Sox	 TRUE 	$2.64
6	Alex Grammas	St. Louis Cardinals	 TRUE 	$2.64
7	Al Pilarcik	Baltimore Orioles	 TRUE 	$3.45
8	Philadelphia Phillies	Philadelphia Phillies	 TRUE 	$7.42
9	Paul Giel	San Francisco Giants	 TRUE 	$1.51
10	Mickey Mantle	New York Yankees	 FALSE 	
11	Billy Hunter	Cleveland Indians	 TRUE 	$2.25
12	Vern Law	Pittsburgh Pirates	 TRUE 	$4.00
13	Dick Gernert	Boston Red Sox 	 TRUE 	$2.25
14	Pete Whisenant	Cincinnati Redlegs	 TRUE 	$1.86
15	Dick Drott	Chicago Cubs	 TRUE 	$2.92
16	Joe Pignatano	Los Angeles Dodgers	 TRUE 	$3.00
17	Kluszewski, etc	Pittsburgh Pirates	 TRUE 	$3.43
18	Jack Urban	Kansas City Athletics	 TRUE 	$2.97
19	Ed Bressoud	San Francisco Giants	 TRUE 	$2.25
20	Duke Snider	Los Angeles Dodgers	 FALSE 	
21	Connie Johnson	Baltimore Orioles	 TRUE 	$3.45
22	Al Smith	Chicago White Sox	 TRUE 	$1.98
23	Murry Dickson	New York Yankees	 TRUE 	$2.25
24	Red Wilson	Detroit Tigers	 TRUE 	$4.94
25	Don Hoak	Cincinnati Redlegs	 TRUE 	$2.25
26	Chuck Stobbs	St. Louis Cardinals	 TRUE 	$3.40
27	Andy Pafko	Milwaukee Braves	 TRUE 	$5.83
28	Red Worthington	San Francisco Giants	 TRUE 	$3.40
29	Jim Bolger	Chicago Cubs	 TRUE 	$2.25
30	Nellie Fox	Chicago White Sox	 TRUE 	$9.66
31	Ken Lehman	Philadelphia Phillies	 TRUE 	$3.40
32	Don Buddin	Boston Red Sox 	 TRUE 	$3.40
33	Ed Fitzgerald	Washington Senators	 TRUE 	$2.11
34	Kaline/Maxwell	Detroit Tigers	 TRUE 	$36.08
35	Ted Kluszewski	Pittsburgh Pirates	 TRUE 	$16.89
36	Hank Aguirre	Detroit Tigers	 TRUE 	$4.24
37	Gene Green	St. Louis Cardinals	 TRUE 	$2.25
38	Morrie Martin	Cleveland Indians	 TRUE 	$2.25
39	Ed Bouchee	Philadelphia Phillies	 TRUE 	$2.25
40	Warren Spahn	Milwaukee Braves	 TRUE 	$33.66
41	Bob Martyn	Kansas City Athletics	 TRUE 	$4.76
42	Murray Wall	Boston Red Sox	 TRUE 	$2.25
43	Steve Bilko	Los Angeles Dodgers	 TRUE 	$1.86
44	Vito Valentinetti	Washington Senators	 TRUE 	$3.40
45	Andy Carey	New York Yankees	 TRUE 	$2.25
46	Bill Henry	Chicago Cubs	 TRUE 	$3.08
47	Jim Finigan	Baltimore Orioles 	 TRUE 	$0.87
48	Baltimore Orioles	Baltimore Orioles	 TRUE 	$4.30
49	Bill Hall	Pittsburgh Pirates	 TRUE 	$4.75
50	Willie Mays	San Francisco Giants	 TRUE 	$209.34
51	Rip Coleman	Kansas City Athletics	 TRUE 	$3.45
52	Coot Veal	Detroit Tigers	 TRUE 	$6.10
53	Stan Williams	Los Angeles Dodgers	 TRUE 	$3.46
54	Mel Roach	Milwaukee Braves	 TRUE 	$6.95
55	Tom Brewer	Boston Red Sox	 TRUE 	$3.40
56	Carl Sawatski	Philadelphia Phillies	 TRUE 	$2.25
57	Al Cicotte	Cleveland Indians	 TRUE 	$1.87
